[Summary]
Cell: 276 NMC811 30C
First Protocol: C:\Users\OEMS\Documents\EC-Lab\Data\Mitch\Protocols\AMIDR Form.mps
Mass (mg): 1.855
Capacity (mAHr): 0.417
Started: 06/07/2023 17:17:50.025
[End Summary]
[Data]
Step Type,Run Time (h),Current (A),Potential vs. Counter (V),Potential (V),Capacity (Ah),Step Number
1,0.0015717221825171793,2.085419e-05,3.2053428,2.8849108,3.2776106785465453e-08,1
1,0.0016742221799278115,2.0853236e-05,3.2153976,2.8948321,3.491360106774502e-08,1
1,0.0017801666216958742,2.0854254999999998e-05,3.2254908,2.9049253,3.7122923778576975e-08,1
1,0.0018919443966499078,2.0853808000000002e-05,3.2355077,2.9150376,3.945389685955727e-08,1
1,0.0020064443937573943,2.0853680999999998e-05,3.2455628,2.9250546,4.184163753253718e-08,1
1,0.0021258888351844184,2.0852598999999998e-05,3.2555797,2.9350524,4.433248779063838e-08,1
1,0.002250999943134957,2.0853426e-05,3.2655966,2.9451265,4.694151077802397e-08,1
1,0.0023833888286794213,2.0853492e-05,3.2756898,2.9550862,4.970230428553704e-08,1
1,0.002521999936288921,2.0853745e-05,3.2857449,2.9650841,5.259285131169276e-08,1
1,0.0026718332658371463,2.0854254999999998e-05,3.2958,2.9752727,5.5717421769371455e-08,1
1,0.0028268888174756692,2.0853808000000002e-05,3.305836,2.9853086,5.895089683433374e-08,1
1,0.0029929999243904614,2.0853935e-05,3.3158717,2.9951727,6.241491969623084e-08,1
1,0.00316961103104,2.0854382000000002e-05,3.3258886,3.0053041,6.609790129969931e-08,1
1,0.0033621665817311916,2.0854254999999998e-05,3.3359056,3.0152829,7.011337256648889e-08,1
1,0.0035678332432022833,2.0853426e-05,3.3459225,3.0253379,7.440226743484122e-08,1
1,0.003790222126473156,2.0853935e-05,3.3559585,3.0353739,7.903988188836309e-08,1
1,0.004034944342513175,2.0852854e-05,3.3659945,3.0453527,8.414322701789852e-08,1
1,0.004305666557896378,2.0853492e-05,3.3760302,3.0553694,8.978876739109142e-08,1
1,0.004602055439297852,2.0853044000000002e-05,3.3860662,3.0654244,9.596954581327736e-08,1
1,0.004931944319853047,2.0853426e-05,3.3961403,3.0752506,1.0284892540300891e-07,1
1,0.005306499865946533,2.0853745e-05,3.4061573,3.0852675,1.106597682268669e-07,1
1,0.005741833188282422,2.0854e-05,3.4161742,3.0953989,1.197380482985949e-07,1
1,0.006237277620210889,2.0854444999999998e-05,3.4262292,3.1053586,1.300698569745032e-07,1
1,0.006829388716364015,2.0853300000000002e-05,3.4362459,3.115299,1.424175154639201e-07,1
1,0.00754111092060662,2.0853553e-05,3.4462628,3.1253159,1.572594997707961e-07,1
1,0.008411666454170094,2.0853935e-05,3.4562988,3.1352375,1.75413738843571e-07,1
1,0.009521888648345744,2.0853618000000002e-05,3.4663348,3.1452353,1.985659316067273e-07,1
1,0.010959777500910503,2.0853935e-05,3.4763708,3.1552904,2.2855112627603938e-07,1
1,0.012903555229584324,2.0854e-05,3.4864259,3.1652117,2.690858954830716e-07,1
1,0.015717221825171792,2.0854127e-05,3.4964619,3.1752477,3.277610101813658e-07,1
1,0.020134110602480684,2.0854317e-05,3.5064788,3.1851501,4.198690453030997e-07,1
1,0.027934277072098557,2.0853680999999998e-05,3.5165148,3.1950145,5.825305666605839e-07,1
1,0.04172049894605153,2.0853171e-05,3.5265696,3.2048786,8.700225424125998e-07,1
1,0.062238776205494006,2.0853618000000002e-05,3.5366056,3.2146666,1.297902329914479e-06,1
1,0.08729260890591427,2.0853110000000003e-05,3.5466607,3.2247026,1.820363918355045e-06,1
1,0.11257771937826976,2.0852854e-05,3.5567348,3.2347386,2.3476496575407477e-06,1
1,0.13720455208947693,2.0854507e-05,3.5667515,3.2448125,2.861207773527131e-06,1
1,0.16111438481879709,2.0854063e-05,3.5767877,3.2550013,3.359815510450241e-06,1
1,0.18544632864856492,2.0854063e-05,3.5868428,3.265209,3.867226157105631e-06,1
1,0.21069921689951215,2.0853363e-05,3.5968788,3.2753975,4.393841082729606e-06,1
1,0.2403555494836635,2.0853745e-05,3.6069148,3.2857387,5.012286772766565e-06,1
1,0.2824444373092975,2.0853808000000002e-05,3.6169314,3.2960417,5.889997883015416e-06,1
1,0.37530976829665524,2.0854e-05,3.6269677,3.3063259,7.826591466446717e-06,1
1,0.7086431487648344,2.0854382000000002e-05,3.6325006,3.311878,1.477786531938757e-05,1
